model,term,coefficient,std_error,p_value,ci_95_lower,ci_95_upper,significance,term_type,n_observations,r_squared,adjusted_r_squared,aic,bic,covariance_type
Late-night LST,Intercept,18.963581,0.006595,0.0,18.950656,18.976506,***,intercept,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,C(year)[T.2021],3.76235,0.021108,0.0,3.72098,3.803721,***,year_fixed_effect,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,C(year)[T.2022],2.246184,0.007496,0.0,2.231492,2.260877,***,year_fixed_effect,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,C(year)[T.2023],1.668017,0.009462,0.0,1.649472,1.686562,***,year_fixed_effect,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,C(year)[T.2025],3.62177,0.01057,0.0,3.601054,3.642486,***,year_fixed_effect,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,ndvi,-0.12482,0.005694,0.0,-0.13598,-0.113661,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,dem,-0.281841,0.005049,0.0,-0.291737,-0.271945,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,DistWater_log,-0.095088,0.004855,0.0,-0.104604,-0.085572,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,share_post90,-0.087216,0.006402,0.0,-0.099764,-0.074668,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,share_collective,0.257071,0.008199,0.0,0.241001,0.273141,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,share_45_70,-0.051253,0.005989,0.0,-0.062991,-0.039516,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,share_70_90,-0.098862,0.005936,0.0,-0.110496,-0.087228,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,poverty_rate,0.023162,0.006566,0.00042,0.010293,0.036032,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,social_share,0.084924,0.006098,0.0,0.072972,0.096876,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,elderly_share,-0.009887,0.006164,0.108747,-0.021968,0.002195,,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,child_broad_share,-0.046889,0.007248,0.0,-0.061096,-0.032683,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,single_parent_share,-0.031177,0.006187,0.0,-0.043304,-0.01905,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,single_person_share,-0.020423,0.007924,0.009956,-0.035954,-0.004892,**,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Late-night LST,mean_income,0.081571,0.007379,0.0,0.067108,0.096035,***,predictor,57809,0.749154,0.749076,144697.601994,144867.93509,cluster
Nighttime Cooling Deficit,Intercept,-2.008644,0.009019,0.0,-2.026322,-1.990967,***,intercept,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,C(year)[T.2021],-5.965919,0.022457,0.0,-6.009934,-5.921905,***,year_fixed_effect,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,C(year)[T.2022],-3.258753,0.010327,0.0,-3.278994,-3.238512,***,year_fixed_effect,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,C(year)[T.2023],-0.921214,0.015374,0.0,-0.951347,-0.891081,***,year_fixed_effect,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,C(year)[T.2025],-1.634493,0.016544,0.0,-1.666918,-1.602068,***,year_fixed_effect,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,ndvi,0.057481,0.006059,0.0,0.045607,0.069356,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,dem,0.082441,0.005683,0.0,0.071302,0.09358,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,DistWater_log,-0.044686,0.00534,0.0,-0.055153,-0.034219,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
Nighttime Cooling Deficit,share_post90,0.045486,0.006735,0.0,0.032286,0.058686,***,predictor,57809,0.629615,0.629499,184026.734894,184197.067989,cluster
